Unnamed: 0,state,action,pos
,  X O  O ,0,0.75
,X XOO  O ,8,1.5
,   O     ,6,23.920875
,   O  X O,7,2.8125
,   O OXXO,4,3.75
,O  OXOXXO,1,3.0
,   OOX OX,1,1.2
,OX OOX OX,2,2.0
,X OO     ,4,8.9025
,X OOX O  ,7,11.55
,X OOX OXO,1,16.0
,  O O  X ,1,2.25
,X      OO,2,1.5
,X X   OOO,4,0.0
,  O   OX ,3,5.0625
,O OX  OX ,8,0.0
,O OX OOXX,1,0.0
,  O  OX  ,0,10.875
,X O  OXO ,8,1.5
,X O OOXOX,1,0.0
,  OO  X  ,0,5.805000000000001
,X OO  XO ,1,0.9
,XXOO  XOO,5,2.0
,X  O   O ,4,2.28
,X  OX  OO,5,0.0
,   OOX   ,0,0.9675
,X  OOXO  ,2,2.85
,XOXOOXO  ,7,2.5
,O        ,2,15.90525
,O X  O   ,3,1.215
,O XX OO  ,1,0.0
,OXXX OO O,4,0.0
,  O  OX  ,1,1.3725
, XO OOX  ,7,0.0
,O    O  X,4,4.9275
,OO  XO  X,2,2.85
,OOX XO OX,3,1.5
,    OOX  ,3,0.9675
, O XOOX  ,8,0.75
,OO XOOX X,2,0.0
,   O XO  ,4,0.5625
,   OXXO O,2,0.0
,       O ,3,13.577625
, O X   O ,8,4.995
,OO X   OX,2,2.1
,      O  ,7,14.487749999999997
, O    OX ,2,2.1825
, OX O OX ,5,1.35
, OX OXOXO,0,2.0
,    XOO  ,0,8.625
,X O XOO  ,8,8.0
,O  X  O  ,1,0.405
,OX XO O  ,8,0.0
,    O OX ,2,2.9925000000000006
, OX O OX ,0,0.45
,  O      ,5,79.16175000000007
,  O  X O ,0,4.590000000000001
,XOO  X O ,3,2.25
,XOOX XOO ,4,9.0
,    X O O,7,9.0225
,O   X OXO,3,1.5
,OO XX OXO,5,6.0
,O  X O   ,4,0.81
,O  XXO  O,1,0.0
,OXOX  O  ,8,0.9
,OXOX OO X,4,3.5
,    XOO  ,1,1.3725
, X  XOOO ,2,0.0
,OXX XOOO ,8,0.0
,  OO    X,5,0.9675
,  OO X OX,4,2.25
,  OOXXOOX,1,0.0
,O        ,6,99.44775000000016
,O     XO ,8,0.81
,O O   XOX,1,4.950000000000001
,OXO O XOX,5,10.0
,O    O X ,8,2.0625
,O  O O XX,6,5.0
,X O O    ,8,1.125
,X O O  OX,1,0.0
,XXOOO  OX,6,0.0
,    O    ,8,18.072
,    O  OX,3,0.81
